Guest_Name,Age,Room_Type,CheckIn_Date,CheckOut_Date,Booking_Channel,Total_Charges,Satisfaction_Score
MARIA okawachi,80,Suite,2025-05-31,2025-06-01,Direto no Balcao,-438.75990899391894,
luYz oliveira,35,Deluxe,2025-09-06,2025-09-16,Direto no Balcao,2743.9797991531377,1.0
aNa costa,61,Deluxe,2025-08-11,2025-08-24,Site Oficial,3557.9039114996563,3.0
julia costa,51,Standard,2025-11-27,2025-12-02,Booking.com,777.1145924270677,4.0
joAo ALVES,79,Deluxe,2025-08-07,2025-08-12,Site Oficial,1402.6424347659483,4.0
aNa costa,31,Standard,2025-11-30,2025-12-08,Booking.com,1134.2633564671328,
ferNanda silva,65,Deluxe,2025-12-05,2025-12-12,Direto no Balcao,1974.7855920745053,1.0
luYz costa,2,Standard,2025-12-06,2025-12-14,Booking.com,1276.8372138425798,4.0
carlos ALVES,79,Deluxe,2025-01-20,2025-01-26,Direto no Balcao,1357.5495379394,5.0
joAo okawachi,57,Presidencial,2025-10-20,2025-10-26,Agencia,6542.24654709047,
MARIA SANTOS,70,Standard,2025-08-20,2025-08-22,Agencia,319.0955537240464,4.0
joAo chiavini,41,Presidencial,2025-05-27,2025-06-02,Agencia,6089.9950775310335,5.0
ferNanda SANTOS,43,Standard,2025-09-17,2025-09-22,Site Oficial,751.8268232487721,2.0
julia ALVES,77,Suite,2025-06-19,2025-07-02,Site Oficial,5926.54799076083,4.0
joAo costa,58,Deluxe,2025-09-15,2025-09-18,Direto no Balcao,876.3649763680048,4.0
carlos chiavini,46,Deluxe,2025-11-05,2025-11-11,Agencia,1571.3658180428067,5.0
julia silva,32,Deluxe,2025-09-02,2025-09-10,Site Oficial,2089.131682376227,3.0
aNa SANTOS,62,Suite,2025-08-13,2025-08-22,Agencia,3267.4204058509704,3.0
MARIA silva,82,Standard,2025-06-15,2025-06-16,Site Oficial,151.64958448400537,3.0
carlos SANTOS,26,Standard,2025-09-06,2025-09-09,Booking.com,533.0703764491061,2.0
ferNanda silva,18,Deluxe,2025-04-18,2025-04-21,Booking.com,806.9745828330679,3.0
aNa silva,25,Suite,2025-12-01,2025-12-12,Agencia,5227.401309921033,
MARIA SANTOS,80,Deluxe,2025-11-07,2025-11-15,Direto no Balcao,2202.9762161993126,4.0
feliPe silva,28,Deluxe,2025-03-26,2025-03-27,Site Oficial,227.87338616973938,4.0
aNa pereira,25,Standard,2025-11-25,2025-11-30,Site Oficial,718.6178797014109,5.0
aNa pereira,52,Suite,2025-04-12,2025-04-15,Booking.com,1238.6442868509162,4.0
aNa SANTOS,52,Standard,2025-11-17,2025-11-19,Booking.com,353.3443761981701,2.0
MARIA costa,50,Deluxe,2025-06-04,2025-06-12,Direto no Balcao,1854.9042973163105,3.0
ferNanda costa,22,Standard,2025-12-02,2025-12-05,Direto no Balcao,-516.7687710017268,3.0
luYz costa,58,Standard,2025-06-21,2025-06-28,Direto no Balcao,997.1143883307255,4.0
julia costa,45,Standard,2025-02-04,2025-02-16,Agencia,1986.8572578586868,4.0
carlos ALVES,24,Standard,2025-09-23,2025-10-04,Booking.com,1842.0331931786586,1.0
pAulo costa,29,Deluxe,2025-09-16,2025-09-17,Agencia,238.14877631812843,4.0
MARIA okawachi,51,Standard,2025-02-08,2025-02-14,Booking.com,1046.8564936711705,
feliPe SANTOS,50,Standard,2025-08-06,2025-08-09,Booking.com,520.4350732260519,5.0
carlos pereira,65,Standard,2025-01-15,2025-01-23,Site Oficial,1154.2263044701403,5.0
lucas SANTOS,40,Standard,2025-06-15,2025-06-21,Booking.com,856.7804427914266,5.0
aNa SANTOS,79,Standard,2025-12-02,2025-12-14,Booking.com,1906.880727969981,3.0
ferNanda pereira,54,Standard,2025-09-11,2025-09-13,Agencia,320.8976971211386,5.0
feliPe costa,61,Deluxe,2025-04-11,2025-04-17,Booking.com,1696.4653362978293,2.0
ferNanda chiavini,52,Deluxe,2025-01-21,2025-01-28,Agencia,1898.3106037176235,5.0
feliPe chiavini,82,Deluxe,2025-06-24,2025-06-29,Direto no Balcao,1339.194490285395,4.0
lucas okawachi,64,Standard,2025-08-20,2025-08-23,Booking.com,485.2015342943966,1.0
joAo pereira,20,Standard,2025-07-29,2025-08-02,Booking.com,688.9938217566074,5.0
luYz pereira,18,Suite,2025-05-12,2025-05-16,Agencia,1848.9588673619899,
luYz silva,22,Deluxe,2025-05-06,2025-05-12,Direto no Balcao,1727.6661155661254,3.0
aNa chiavini,31,Standard,2025-02-16,2025-02-26,Site Oficial,1682.470907172335,5.0
MARIA oliveira,44,Standard,2025-10-28,2025-10-29,Direto no Balcao,161.3725796424817,2.0
joAo silva,26,Standard,2025-01-06,2025-01-17,Agencia,1956.3476427453031,4.0
joAo silva,32,Standard,2025-12-30,2026-01-03,Direto no Balcao,562.4899543266455,4.0
feliPe pereira,59,Standard,2025-08-03,2025-08-13,Agencia,1423.925116830907,4.0
lucas okawachi,68,Deluxe,2025-12-31,2026-01-13,Agencia,3700.72251075857,
pAulo okawachi,80,Deluxe,2025-10-09,2025-10-13,Site Oficial,1041.8009620074347,5.0
pAulo costa,69,Deluxe,2025-10-02,2025-10-12,Booking.com,2697.070315231906,5.0
aNa chiavini,21,Deluxe,2025-07-10,2025-07-11,Agencia,252.89344878167557,3.0
pAulo silva,40,Suite,2025-09-16,2025-09-25,Agencia,3995.4660716004655,
ferNanda oliveira,32,Deluxe,2025-01-28,2025-02-01,Site Oficial,1053.6291812012441,2.0
joAo pereira,60,Presidencial,2025-04-07,2025-04-14,Agencia,6854.575135297789,5.0
feliPe chiavini,46,Standard,2025-10-03,2025-10-15,Booking.com,-2025.6649154726792,3.0
lucas SANTOS,53,Standard,2025-01-17,2025-01-31,Site Oficial,2051.739703417412,2.0
carlos ALVES,30,Standard,2025-07-01,2025-07-04,Booking.com,465.9019504113229,5.0
feliPe silva,49,Deluxe,2025-02-09,2025-02-19,Booking.com,2828.8027148090446,3.0
luYz ALVES,76,Suite,2025-10-01,2025-10-13,Site Oficial,4673.932478929404,3.0
pAulo costa,45,Standard,2025-03-03,2025-03-06,Agencia,499.81151939389275,3.0
feliPe SANTOS,83,Suite,2025-12-23,2026-01-06,Booking.com,5590.9716842178495,2.0
julia oliveira,59,Standard,2025-05-07,2025-05-15,Booking.com,1187.8447450855708,3.0
pAulo silva,62,Suite,2025-04-08,2025-04-16,Booking.com,3671.512180150497,1.0
joAo ALVES,79,Standard,2025-02-14,2025-02-25,Booking.com,1506.8408143667968,4.0
pAulo chiavini,74,Standard,2025-11-26,2025-12-08,Site Oficial,2135.9110546431334,2.0
pAulo okawachi,23,Standard,2025-06-05,2025-06-06,Site Oficial,145.44675314982518,5.0
feliPe SANTOS,45,Standard,2026-01-01,2026-01-11,Direto no Balcao,1660.0754622366794,3.0
feliPe oliveira,45,Standard,2025-03-15,2025-03-17,Direto no Balcao,330.77193715736945,
julia SANTOS,61,Standard,2025-06-26,2025-07-04,Booking.com,1405.1972684997104,5.0
julia oliveira,47,Suite,2025-04-14,2025-04-15,Agencia,458.52599082492355,3.0
ferNanda pereira,79,Deluxe,2025-07-18,2025-07-30,Booking.com,2818.5512513705103,5.0
MARIA oliveira,79,Standard,2025-04-25,2025-05-03,Agencia,1306.9119906289372,5.0
carlos ALVES,18,Deluxe,2025-10-27,2025-11-04,Booking.com,1968.818181465225,
luYz oliveira,44,Deluxe,2025-07-13,2025-07-15,Direto no Balcao,549.304914127929,4.0
ferNanda pereira,79,Standard,2025-08-29,2025-09-02,Direto no Balcao,585.6460748778661,2.0
joAo ALVES,20,Standard,2025-06-07,2025-06-13,Agencia,859.9872195924015,4.0
lucas okawachi,44,Standard,2025-04-20,2025-05-02,Booking.com,1951.4947750691417,4.0
pAulo silva,26,Standard,2025-05-20,2025-05-31,Agencia,1688.6061772276244,4.0
aNa SANTOS,79,Deluxe,2025-05-10,2025-05-19,Direto no Balcao,2699.861643674784,3.0
ferNanda costa,54,Standard,2025-01-28,2025-02-05,Booking.com,1345.1064397389127,5.0
ferNanda ALVES,68,Deluxe,2025-08-11,2025-08-23,Booking.com,3408.1766638837944,
pAulo silva,61,Deluxe,2025-01-07,2025-01-15,Agencia,2070.521730738669,3.0
feliPe silva,41,Standard,2025-02-05,2025-02-12,Site Oficial,1171.4760830347254,2.0
carlos silva,76,Deluxe,2025-10-18,2025-11-01,Agencia,3351.493256389159,3.0
julia silva,49,Standard,2025-05-11,2025-05-24,Direto no Balcao,2155.405051270138,5.0
ferNanda pereira,69,Presidencial,2025-06-19,2025-06-28,Direto no Balcao,8604.62277829311,5.0
luYz chiavini,79,Standard,2025-07-19,2025-07-21,Direto no Balcao,348.1559496783681,4.0
julia ALVES,75,Suite,2025-10-02,2025-10-05,Direto no Balcao,1197.4081544507435,4.0
lucas oliveira,69,Deluxe,2025-11-05,2025-11-15,Direto no Balcao,2789.4946631326507,4.0
MARIA chiavini,29,Standard,2025-09-02,2025-09-10,Site Oficial,1340.0808880969132,3.0
pAulo ALVES,56,Deluxe,2025-09-02,2025-09-16,Booking.com,3173.8520744462953,4.0
aNa silva,19,Presidencial,2025-10-26,2025-11-01,Agencia,6041.137751109043,5.0
aNa silva,20,Deluxe,2025-04-04,2025-04-14,Agencia,2930.7871809863404,
pAulo chiavini,73,Suite,2025-09-25,2025-10-04,Direto no Balcao,3521.265592267102,
pAulo oliveira,76,Suite,2025-06-29,2025-07-09,Agencia,3731.291633712863,
lucas chiavini,19,Standard,2025-10-31,2025-11-04,Direto no Balcao,717.9495671992311,4.0
luYz pereira,19,Standard,2025-10-14,2025-10-22,Site Oficial,1273.0430080974593,4.0
luYz SANTOS,71,Deluxe,2025-10-16,2025-10-26,Site Oficial,2983.81957163621,5.0
julia silva,18,Standard,2025-01-10,2025-01-13,Booking.com,433.6536901020739,
aNa ALVES,36,Suite,2025-06-29,2025-07-02,Site Oficial,1196.4805290111703,2.0
feliPe pereira,19,Suite,2025-06-25,2025-07-03,Site Oficial,3566.3777590249515,3.0
ferNanda pereira,70,Standard,2025-10-22,2025-10-27,Booking.com,675.9964200887761,2.0
carlos costa,61,Standard,2025-11-10,2025-11-13,Agencia,461.75731160543336,4.0
carlos okawachi,49,Deluxe,2025-04-25,2025-05-05,Direto no Balcao,2894.9264214031305,3.0
MARIA silva,49,Standard,2025-04-29,2025-05-10,Direto no Balcao,1714.7344607864634,3.0
julia chiavini,72,Suite,2025-04-23,2025-04-24,Agencia,447.3063421621518,2.0
julia okawachi,73,Standard,2025-05-21,2025-05-24,Booking.com,535.9422788214882,3.0
luYz costa,34,Deluxe,2025-08-16,2025-08-28,Agencia,-2976.1142870944,5.0
feliPe silva,55,Standard,2025-05-31,2025-06-09,Site Oficial,1547.958089746391,3.0
julia pereira,41,Deluxe,2025-02-03,2025-02-08,Booking.com,1139.562930464573,5.0
joAo chiavini,28,Standard,2025-10-20,2025-11-01,Booking.com,1988.3772956242722,4.0
feliPe pereira,33,Deluxe,2025-03-29,2025-04-08,Booking.com,2843.0802910504676,5.0
ferNanda costa,76,Standard,2025-10-02,2025-10-04,Direto no Balcao,272.2016114511542,2.0
julia silva,20,Deluxe,2025-04-06,2025-04-13,Agencia,1664.0057167111713,
joAo chiavini,37,Suite,2025-05-14,2025-05-16,Booking.com,858.7807745189041,4.0
feliPe oliveira,76,Standard,2025-03-05,2025-03-09,Booking.com,671.298191775794,
ferNanda SANTOS,53,Standard,2025-06-16,2025-06-28,Booking.com,1638.705967538721,
feliPe okawachi,36,Standard,2025-04-17,2025-04-24,Agencia,1231.704894051395,3.0
feliPe oliveira,84,Deluxe,2025-06-06,2025-06-10,Direto no Balcao,976.0683728892994,2.0
julia silva,36,Deluxe,2025-02-12,2025-02-19,Site Oficial,1923.6867649125613,3.0
joAo silva,37,Deluxe,2025-10-27,2025-11-03,Direto no Balcao,1906.1721320241163,4.0
ferNanda SANTOS,69,Standard,2025-08-22,2025-08-23,Booking.com,-137.22573358392347,3.0
feliPe SANTOS,50,Standard,2025-09-08,2025-09-14,Direto no Balcao,910.5336295966711,3.0
carlos oliveira,57,Deluxe,2025-05-19,2025-05-28,Direto no Balcao,2558.6868934826252,4.0
julia chiavini,56,Standard,2025-03-29,2025-03-31,Site Oficial,-300.291372961761,1.0
pAulo chiavini,18,Presidencial,2025-02-18,2025-03-04,Agencia,15838.983130856788,2.0
julia ALVES,28,Standard,2025-09-29,2025-10-02,Agencia,457.9098245998831,4.0
julia pereira,74,Deluxe,2025-02-05,2025-02-15,Direto no Balcao,2928.8263410688505,2.0
luYz pereira,67,Standard,2025-01-30,2025-02-04,Direto no Balcao,813.7732964956656,4.0
pAulo chiavini,40,Standard,2025-04-07,2025-04-16,Agencia,1554.9628306832083,4.0
MARIA silva,48,Deluxe,2025-08-11,2025-08-15,Agencia,1092.3089556288505,4.0
feliPe pereira,59,Deluxe,2025-08-23,2025-08-24,Site Oficial,243.59262834799276,5.0
lucas costa,24,Presidencial,2025-10-11,2025-10-15,Booking.com,4123.890531028542,4.0
julia oliveira,33,Standard,2025-10-12,2025-10-18,Direto no Balcao,1015.2414751070467,4.0
carlos SANTOS,77,Standard,2025-03-28,2025-04-02,Agencia,855.9744037703181,4.0
carlos chiavini,19,Deluxe,2025-01-27,2025-02-10,Direto no Balcao,3591.5856785888495,5.0
joAo SANTOS,18,Deluxe,2025-05-02,2025-05-15,Direto no Balcao,-3633.0262833424345,5.0
lucas ALVES,65,Standard,2025-11-16,2025-11-17,Agencia,144.40885896362454,5.0
aNa pereira,29,Standard,2025-05-03,2025-05-07,Site Oficial,701.8146458724668,5.0
joAo silva,54,Standard,2025-11-01,2025-11-07,Direto no Balcao,941.9128652523186,2.0
MARIA okawachi,49,Suite,2025-05-06,2025-05-19,Site Oficial,5988.6961137072485,3.0
julia SANTOS,26,Standard,2025-05-24,2025-06-03,Agencia,1379.4717447359199,1.0
feliPe chiavini,36,Standard,2025-08-15,2025-08-25,Booking.com,1498.2352409623406,
pAulo silva,65,Standard,2025-04-25,2025-05-09,Booking.com,2281.9558844334088,5.0
MARIA costa,20,Standard,2025-03-03,2025-03-07,Direto no Balcao,568.8279725022254,5.0
feliPe silva,37,Standard,2025-01-10,2025-01-24,Agencia,2219.377394717979,3.0
carlos oliveira,41,Deluxe,2025-12-14,2025-12-23,Site Oficial,2253.8817464049753,5.0
lucas pereira,71,Standard,2025-01-26,2025-01-31,Direto no Balcao,721.1402959073454,3.0
joAo silva,50,Suite,2025-09-04,2025-09-12,Agencia,3658.3170974259824,1.0
julia okawachi,41,Standard,2025-11-28,2025-12-07,Agencia,1560.3181581554802,4.0
carlos ALVES,53,Deluxe,2025-10-02,2025-10-12,Site Oficial,2736.9387232113986,4.0
carlos ALVES,55,Suite,2025-04-18,2025-04-23,Direto no Balcao,1964.1536575246573,4.0
joAo chiavini,42,Deluxe,2025-06-08,2025-06-14,Agencia,1772.718811089556,5.0
MARIA costa,35,Deluxe,2025-06-06,2025-06-07,Agencia,-228.37962584160357,2.0
aNa SANTOS,83,Standard,2025-11-17,2025-11-28,Agencia,1511.235011110583,4.0
feliPe pereira,71,Standard,2025-01-29,2025-02-10,Site Oficial,1930.9886659605763,4.0
joAo chiavini,52,Deluxe,2025-04-17,2025-04-24,Direto no Balcao,2011.9731984051666,3.0
aNa ALVES,78,Presidencial,2025-08-01,2025-08-05,Direto no Balcao,4178.6465510979315,5.0
luYz oliveira,58,Deluxe,2025-04-15,2025-04-26,Direto no Balcao,3221.8210566751604,5.0
aNa costa,50,Deluxe,2025-04-21,2025-04-23,Direto no Balcao,523.5560800240684,5.0
lucas costa,50,Deluxe,2025-11-12,2025-11-17,Booking.com,1436.6032906361927,5.0
joAo silva,31,Standard,2025-03-12,2025-03-24,Booking.com,1869.3721255730688,5.0
feliPe chiavini,38,Standard,2025-12-11,2025-12-14,Direto no Balcao,503.1067512952486,3.0
lucas okawachi,65,Deluxe,2025-08-01,2025-08-07,Site Oficial,1749.427533862264,5.0
aNa oliveira,37,Presidencial,2025-09-17,2025-09-25,Booking.com,8619.717571924835,3.0
pAulo SANTOS,25,Standard,2025-08-02,2025-08-09,Agencia,986.252279328334,3.0
lucas ALVES,24,Deluxe,2025-08-25,2025-08-28,Booking.com,813.8923749441409,2.0
lucas okawachi,84,Standard,2025-03-25,2025-04-02,Agencia,1135.3918184810227,5.0
julia chiavini,34,Deluxe,2025-04-05,2025-04-07,Direto no Balcao,458.0418724388117,5.0
ferNanda oliveira,50,Standard,2025-02-01,2025-02-11,Booking.com,1718.197705197423,3.0
MARIA oliveira,65,Standard,2025-11-24,2025-12-03,Site Oficial,1371.910033983837,5.0
luYz oliveira,76,Deluxe,2025-08-24,2025-08-28,Booking.com,1133.4083966213386,
joAo okawachi,39,Standard,2025-02-15,2025-02-16,Booking.com,164.3868449550629,2.0
joAo ALVES,47,Deluxe,2025-01-09,2025-01-17,Booking.com,1974.1095977998984,3.0
feliPe pereira,55,Deluxe,2025-04-19,2025-04-26,Direto no Balcao,1909.0966504224202,5.0
pAulo pereira,68,Suite,2025-03-17,2025-03-28,Site Oficial,4840.358093318427,3.0
ferNanda ALVES,71,Standard,2025-03-11,2025-03-24,Booking.com,1871.5681439460827,4.0
carlos SANTOS,25,Standard,2025-03-03,2025-03-08,Site Oficial,897.8041870100562,2.0
joAo oliveira,44,Standard,2025-09-07,2025-09-17,Direto no Balcao,1596.160715590301,4.0
MARIA silva,44,Presidencial,2025-01-04,2025-01-17,Agencia,15363.71730182448,5.0
carlos silva,38,Suite,2025-04-13,2025-04-18,Booking.com,2139.2634284178116,5.0
MARIA oliveira,47,Deluxe,2025-10-08,2025-10-15,Site Oficial,1785.2724134395796,5.0
MARIA okawachi,45,Suite,2025-05-31,2025-06-05,Site Oficial,1964.3521415355208,5.0
pAulo ALVES,81,Deluxe,2025-02-25,2025-03-05,Direto no Balcao,2066.9870891648347,5.0
feliPe chiavini,78,Deluxe,2025-08-04,2025-08-15,Booking.com,2501.4673216477204,5.0
feliPe okawachi,65,Standard,2025-12-31,2026-01-13,Agencia,2174.0584867664797,1.0
luYz ALVES,36,Deluxe,2025-12-25,2025-12-31,Site Oficial,1517.8345152929567,4.0
pAulo ALVES,21,Standard,2025-01-10,2025-01-23,Booking.com,2133.4054905421876,1.0
lucas silva,52,Suite,2025-12-01,2025-12-06,Agencia,2355.296342715641,5.0
feliPe okawachi,81,Deluxe,2025-01-27,2025-02-05,Site Oficial,2483.688333684362,3.0
MARIA chiavini,66,Deluxe,2025-06-02,2025-06-13,Site Oficial,2918.0544980204445,4.0
lucas okawachi,34,Standard,2025-12-11,2025-12-13,Agencia,353.0674473529085,3.0
pAulo oliveira,61,Standard,2025-12-05,2025-12-06,Agencia,166.96514301250713,5.0
luYz chiavini,47,Standard,2025-10-06,2025-10-14,Direto no Balcao,1266.3326673006645,5.0
aNa chiavini,63,Standard,2025-01-10,2025-01-22,Booking.com,1923.3779219897172,4.0
carlos costa,23,Standard,2025-11-16,2025-11-19,Booking.com,455.8103092867783,5.0
julia ALVES,54,Suite,2025-10-19,2025-11-02,Direto no Balcao,5591.402554919601,3.0
joAo SANTOS,41,Deluxe,2025-09-23,2025-10-04,Site Oficial,3055.4357906027144,4.0
luYz costa,63,Standard,2025-02-19,2025-03-03,Agencia,1709.8365005133867,5.0
joAo ALVES,70,Standard,2025-06-09,2025-06-21,Agencia,1821.5997342220517,3.0
pAulo SANTOS,77,Standard,2025-12-24,2026-01-05,Agencia,-1683.2819560408213,
aNa silva,80,Deluxe,2025-02-09,2025-02-16,Site Oficial,1707.601794702197,2.0
carlos chiavini,49,Deluxe,2025-03-06,2025-03-16,Agencia,2656.262163227204,1.0
carlos oliveira,50,Suite,2025-03-31,2025-04-13,Agencia,4734.224647578626,
pAulo costa,84,Standard,2025-02-06,2025-02-17,Direto no Balcao,1841.3890007155806,2.0
MARIA costa,35,Presidencial,2025-02-06,2025-02-14,Site Oficial,-7311.914633241172,
joAo okawachi,42,Suite,2025-11-26,2025-12-09,Booking.com,6160.8567723125525,
aNa SANTOS,71,Standard,2025-10-27,2025-11-09,Direto no Balcao,2097.241212700328,2.0
carlos SANTOS,75,Suite,2025-01-31,2025-02-06,Direto no Balcao,2873.1811387164457,4.0
lucas chiavini,84,Standard,2025-10-11,2025-10-23,Booking.com,1863.9775486067974,3.0
julia SANTOS,63,Suite,2025-04-03,2025-04-13,Direto no Balcao,-4107.624854463888,4.0
feliPe SANTOS,41,Standard,2025-08-20,2025-09-03,Site Oficial,2181.942519183734,2.0
aNa chiavini,49,Suite,2025-07-11,2025-07-20,Agencia,4081.276877926677,3.0
joAo costa,64,Suite,2025-10-28,2025-11-04,Site Oficial,3009.3060689123045,4.0
MARIA costa,40,Suite,2025-02-04,2025-02-14,Booking.com,3742.048058659509,4.0
joAo okawachi,83,Deluxe,2025-07-16,2025-07-21,Booking.com,1430.6233888040817,
carlos costa,44,Standard,2025-02-07,2025-02-15,Direto no Balcao,1402.4730234369858,5.0
lucas oliveira,19,Standard,2025-08-09,2025-08-11,Site Oficial,326.9231917696762,5.0
lucas costa,34,Standard,2025-06-05,2025-06-12,Site Oficial,1236.398770955789,4.0
joAo chiavini,50,Standard,2025-10-16,2025-10-20,Booking.com,596.9118002121858,5.0
MARIA silva,26,Deluxe,2025-08-10,2025-08-19,Site Oficial,2683.3307053437693,3.0
MARIA chiavini,60,Standard,2025-08-31,2025-09-12,Booking.com,1691.5136300223783,5.0
aNa ALVES,65,Presidencial,2025-02-24,2025-02-25,Site Oficial,1135.0502078106833,
carlos okawachi,56,Deluxe,2025-09-16,2025-09-23,Site Oficial,1959.3623710681968,3.0
carlos oliveira,59,Suite,2025-02-24,2025-03-02,Site Oficial,2493.9262760198476,5.0
feliPe costa,43,Standard,2025-09-27,2025-10-05,Booking.com,1132.5494589470634,5.0
luYz chiavini,150,Suite,2025-04-13,2025-04-18,Direto no Balcao,1941.448494827347,
carlos costa,42,Suite,2025-10-16,2025-10-17,Site Oficial,441.15574550483865,5.0
julia ALVES,41,Standard,2025-11-18,2025-11-19,Booking.com,162.0444939195401,3.0
luYz pereira,30,Deluxe,2025-08-01,2025-08-10,Booking.com,2341.5095643569653,3.0
lucas oliveira,77,Deluxe,2025-02-02,2025-02-12,Site Oficial,2679.32244244319,1.0
ferNanda chiavini,24,Standard,2025-07-21,2025-07-27,Site Oficial,873.452731570578,5.0
carlos ALVES,74,Deluxe,2025-07-19,2025-07-29,Direto no Balcao,2512.2240295198108,1.0
